"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr"
529221487892;;SH-0115;;;"Набор Шампуров №11 (для Тандыра с крючками) - 7 шт - Загнутая";;;;7700.00;;;"Ширина лезвия:;Количество шампуров:7 шт;Ручка:Загнутая";;uSeJLlKOcZSo7oAkZUGD;698150936462;950;810;85;40;;;;;
599870253892;;SH-0116;;;"Набор Шампуров №11 (для Тандыра с крючками) - 8 шт - Загнутая";;;;8800.00;;;"Ширина лезвия:;Количество шампуров:8 шт;Ручка:Загнутая";;EoHGsCX7tBoYfxdMFOLe;698150936462;1100;810;85;40;;;;;
524466593032;;SH-0117;;;"Набор Шампуров №11 (для Тандыра с крючками) - 9 шт - Загнутая";;;;9900.00;;;"Ширина лезвия:;Количество шампуров:9 шт;Ручка:Загнутая";;A0isV5xTMG5JyPM6rKuf;698150936462;1250;810;85;40;;;;;
926710501832;;SH-0118;;;"Набор Шампуров №11 (для Тандыра с крючками) - 10 шт - Загнутая";;;;11000.00;;;"Ширина лезвия:;Количество шампуров:10 шт;Ручка:Загнутая";;2d9Y3h9axVJoXZuM0eBh;698150936462;1400;810;85;40;;;;;
470164287842;;SH-0119;;;"Набор Шампуров №11 (для Тандыра с крючками) - 11 шт - Загнутая";;;;12100.00;;;"Ширина лезвия:;Количество шампуров:11 шт;Ручка:Загнутая";;xORCXMpfr64yICC9GH0p;698150936462;1550;810;85;40;;;;;
879612605612;"Mangal Craft";;;Шампуры;"Набор Шампуров №12 (XXL удлинённые)";"Заказ от 6 шт<br />Aisi 304 нержавейка";"<strong style=""color: rgb(255, 121, 0);"">Для люля-кебаба и шашлыка </strong><br /><br />-наружная прорезь ровная<br />-внутренняя прорезь волнистая<br /><br />Общая длина 75 см<br />Рабочая поверхность 55 см<br />Ширина 21 мм<br />Толщина от 2 мм до 3 мм<br />Ручка не греется!";https://static.tildacdn.com/stor3364-3135-4836-b665-643033343764/764caff68b45f9027794657fcd647e06.png;;;;;"Чехол:Не нужен;Чехол-сумка для шампуров 800 руб.=+800";i1xVha39XiYyFFmhu0YT;;0;0;0;0;"Набор Шампуров №1 (классический)";"Для люля-кебаба и шашлыка. Люля-кебаб отлично держится на шампуре";"купить шампуры, набор шампуров цена, шампур цена, купить шампура для шашлыка, шампур люля купить";;
869659076642;;SH-0120;;;"Набор Шампуров №12 (XXL удлинённые) - 6 шт";;;;7800.00;;;"Ширина лезвия:;Количество шампуров:6 шт";;TBL7N5PBrXZrZafTUOc9;879612605612;1500;810;85;40;;;;;
821740885232;;SH-0121;;;"Набор Шампуров №12 (XXL удлинённые) - 7 шт";;;;9100.00;;;"Ширина лезвия:;Количество шампуров:7 шт";;Ku2X9kaFVmMNN7TktK7B;879612605612;1700;810;85;40;;;;;
330423013202;;SH-0122;;;"Набор Шампуров №12 (XXL удлинённые) - 8 шт";;;;10400.00;;;"Ширина лезвия:;Количество шампуров:8 шт";;XHDTAf6l9GsA3Dnrc3ke;879612605612;1900;810;85;40;;;;;
338535510492;;SH-0123;;;"Набор Шампуров №12 (XXL удлинённые) - 9 шт";;;;11700.00;;;"Ширина лезвия:;Количество шампуров:9 шт";;17TUBoavkV1DpHMLyBXb;879612605612;2100;810;85;40;;;;;
873171139182;;SH-0124;;;"Набор Шампуров №12 (XXL удлинённые) - 10 шт";;;;13000.00;;;"Ширина лезвия:;Количество шампуров:10 шт";;TG69mLVxRboY1PY1Bsbm;879612605612;2300;810;85;40;;;;;
838181993612;;SH-0125;;;"Набор Шампуров №12 (XXL удлинённые) - 11 шт";;;;14300.00;;;"Ширина лезвия:;Количество шампуров:11 шт";;xABYsEtm7zY5OeNekCt4;879612605612;2500;810;85;40;;;;;
181653259882;"Mangal Craft";BULL-0001;;Подставка;"Подставка для шампуров ""Голова Быка №1""";"Ручная работа";"Ручная работа<br />Легко помещается 10 шампуров - Mangal Craft<br />Продаётся без шампуров<br /><br />Габариты изделия:<br />Длина - 59 см, 71 см с поднятой цепью<br />Ширина - 53 см - размах рогов<br />Высота - 8,5 см<br />Вес 3,5 кг";https://static.tildacdn.com/stor6663-6530-4232-a332-383232316331/3659d6bc6c6531e8488d4db1eae582f4.jpg;13000.00;0;21000;;;U0D8YHfUp1cRSp8jSlR3;;3500;670;530;13;;;;;
447395034862;"Mangal Craft";BULL-0001;;Подставка;"Подставка для шампуров ""Голова Быка №2""";"Ручная работа";"Ручная работа<br />Легко помещается 10 шампуров - Mangal Craft<br />Продаётся без шампуров<br /><br />Габариты изделия:<br />Длина - 59 см, 71 см с поднятой цепью<br />Ширина - 53 см - размах рогов<br />Высота - 8,5 см<br />Вес 3,5 кг";https://static.tildacdn.com/stor3539-6131-4561-b533-313030333030/905470fc1f9713ebbfe60e0625e35c6b.jpg;13000.00;1;21000;;;LS5VbPDniTNizivn5v6p;;3500;670;530;13;;;;;
